id,scenario,question,expected_shop_ids,expected_facts,snapshot_at,vector_top3,hybrid_top3,vector_hit_at_1,vector_hit_at_3,hybrid_hit_at_1,hybrid_hit_at_3,no_result_review,notes
1,shop-name,103茶餐厅有什么优惠？,1,店铺1；当前有效100元代金券实付80元；还有50元代金券实付47.5元,2026-07-23T15:50:00+08:00,1|4|3,1,true,true,true,true,,
2,shop-name,103茶餐厅营业到几点？,1,店铺1；营业时间10:00-22:00,2026-07-23T15:50:00+08:00,1|3|9,1,true,true,true,true,,
3,shop-name,开乐迪KTV（运河上街店）人均多少钱？,10,店铺10；KTV；运河上街；人均67元；24小时营业,2026-07-23T15:50:00+08:00,10|12|13,10,true,true,true,true,,
4,shop-name,Mamala（杭州远洋乐堤港店）评分和人均是多少？,4,店铺4；评分4.9；人均290元；拱宸桥/上塘,2026-07-23T15:50:00+08:00,4|1|12,4,true,true,true,true,,
5,shop-name,海底捞火锅（水晶城购物中心店）在哪里？,5,店铺5；大关；水晶城购物中心附近,2026-07-23T15:50:00+08:00,5|11|1,5,true,true,true,true,,
6,shop-name,浅草屋寿司（运河上街店）几点关门？,8,店铺8；运河上街；营业至24:00,2026-07-23T15:50:00+08:00,8|3|1,8,true,true,true,true,,
7,category-area,运河上街附近有哪些KTV？,10,店铺10；开乐迪KTV；运河上街,2026-07-23T15:50:00+08:00,10|14|13,10|11|13,true,true,true,true,,
8,category-area,运河上街有什么适合吃饭的餐厅？,3|8|9,店铺3新白鹿、8浅草屋寿司、9羊老三均在运河上街,2026-07-23T15:50:00,3|10|9,3|8|9,true,true,true,true,,
9,category-area,远洋乐堤港附近的KTV有哪些？,12,店铺12；魅KTV；杭州远洋乐堤港,2026-07-23T15:50:00,12|10|13,12|10|11,true,true,true,true,,
10,category-area,北部新城有什么餐厅？,7,店铺7；炉鱼；北部新城,2026-07-23T15:50:00,1|3|4,7|1|3,false,false,true,true,,
11,category-area,大关附近有什么火锅？,5,店铺5；海底捞火锅；大关,2026-07-23T15:50:00,5|9|1,5|1|9,true,true,true,true,,
12,category-area,水晶城附近有什么KTV？,11,店铺11；INLOVE KTV；水晶城,2026-07-23T15:50:00,11|12|13,11|10|13,true,true,true,true,,
13,voucher,103茶餐厅现在有什么可用代金券？,1,店铺1；100元券实付80元；有效期至2026-10-26,2026-07-23T15:50:00,1|4|13,1,true,true,true,true,,
14,voucher,103茶餐厅的100元代金券现在还能用吗？,1,店铺1；当前有效100元代金券结束时间2026-10-26,2026-07-23T15:50:00,1|10|4,1,true,true,true,true,,
15,voucher,103茶餐厅的50元券能用吗？,1,店铺1；50元代金券实付47.5元；规则为全场通用、无需预约、仅限堂食,2026-07-23T15:50:00,1|4|2,1,true,true,true,true,,
16,voucher,103茶餐厅有哪些已过期秒杀券？,1,店铺1；历史秒杀券10、11、12均在2026-05-27前结束,2026-07-23T15:50:00,1|4|10,1,true,true,true,true,,
