case_id,scenario,question,expected_mode,expected_shop_names,required_terms,actual_mode,outcome,request_id,trace_id,retrieved_shop_ids,tool_names,expected_entity_mentioned,all_expected_entities_mentioned,required_tools,required_tools_invoked,unexpected_known_shop_names,automatic_pass,retrieval_ms,tool_ms,first_token_ms,total_ms,error,manual_review,final_answer
QR003,pass-through,炉鱼人均多少钱？,PASS_THROUGH,炉鱼,炉鱼,PASS_THROUGH,ANSWERED,80a09b1c91c3f2a5ae261b9719a0f4c3,9dac674ef330e59d5551f9702028e0a6,7|4|102,shopDetail,true,true,shopDetail,true,,true,374,116,1507,1703,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,炉鱼（拱墅万达广场店）人均约85元。
QR004,pass-through,开乐迪KTV在哪里？,PASS_THROUGH,开乐迪KTV,开乐迪KTV,PASS_THROUGH,ANSWERED,cec73bc621a9671d84f21305096435e2,d53f06f60d0ca2e870e9a45da3252723,10,,true,true,,true,,true,278,24,1885,2265,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,开乐迪KTV（运河上街店）位于：**台州路2号运河上街购物中心F4**。营业时间：24小时营业，人均约67元，评分3.7/5。
QR005,pass-through,海底捞火锅营业到几点？,PASS_THROUGH,海底捞火锅,海底捞火锅,PASS_THROUGH,ANSWERED,ac60c427c2c0bbecc8aff89eaa15e9cf,8eef5f0b1e90737d07affc1c5757513b,5,,true,true,shopDetail,false,,false,267,20,1977,2204,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,海底捞火锅（水晶城购物中心店）营业时间为 **10:00至次日07:00**（即上午10点到第二天早上7点）。
QR006,pass-through,运河上街附近有什么餐厅？,PASS_THROUGH,新白鹿餐厅,运河上街,PASS_THROUGH,ANSWERED,a0d5fd9a97ea331ff60f79f45ad97d8c,1e72cdb5c640e32a525f9353400a288c,3|8|9,,true,true,,true,,true,278,21,6294,7836,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,"根据现有信息，运河上街有以下几家餐厅：

1. **新白鹿餐厅（运河上街店）**
 -类别：美食 -评分：4.7/5 -人均：61元 -地址：台州路2号运河上街购物中心F5 -营业时间：10:30-21:002. **浅草屋寿司（运河上街店）**
 -类别：美食 -评分：4.6/5 -人均：88元 -地址：拱墅区金华路80号运河上街B1 -营业时间：11:00-21:303. **羊老三羊蝎子牛仔排北派炭火锅（运河上街店）**
 -类别：美食 -评分：4.4/5 -人均：101元 -地址：台州路2号运河上街购物中心F5 -营业时间：11:00-21:30这三家都在运河上街，口味和人均各不相同，可以按偏好选择。如需更多店铺或优惠信息，建议进一步查询。"
QR007,pass-through,浅草屋寿司有什么探店笔记？,PASS_THROUGH,浅草屋寿司,浅草屋寿司,PASS_THROUGH,ANSWERED,6dace710a53d1bfee782c3e68a7a34cb,02578db46e32b3fcca6e9cfa94d8cbad,8,shopDetail|blogSearch,true,true,blogSearch,true,,true,358,66,3913,4527,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,"目前没有找到关于浅草屋寿司（运河上街店）的公开探店笔记。不过可以告诉你这家店的基本信息：

-评分：4.6/5-人均：88元-地址：拱墅区金华路80号运河上街B1-营业时间：11:00-21:30如果你想了解推荐菜或其他具体信息，可以换个问法，我再帮你查。"
QR008,pass-through,INLOVE KTV评分怎么样？,PASS_THROUGH,INLOVE KTV,INLOVE KTV,PASS_THROUGH,ANSWERED,e8f305349ded98fb4992d6fb649307f4,3a396c597e03955a224a4c2251015ff1,11,shopDetail,true,true,shopDetail,true,,true,271,47,1589,1766,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,INLOVE KTV(水晶城店)的评分是 **4.7/5**，口碑相当不错。
QR009,pass-through,推荐人均100元以内的美食店。,PASS_THROUGH,103茶餐厅|新白鹿餐厅|炉鱼,100元,PASS_THROUGH,ANSWERED,3a3433250e5e82348077e46a6739a4cb,8d6144da3a02213219d110f4405f6c9e,1|2|7,shopDetail,true,true,shopDetail,true,,true,276,50,13607,15386,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,"以下三家美食店人均都在100元以内，供你参考：

1. **103茶餐厅** -类别：美食（茶餐厅） -评分：3.7/5，人均80元 -地址：金华路锦昌文华苑29号 -营业时间：10:00-22:00 -有50元、100元代金券，全场通用，仅限堂食2. **蔡馬洪涛烤肉·老北京铜锅涮羊肉** -类别：美食（烤肉/铜锅涮肉） -评分：4.6/5，人均85元 -地址：上塘路1035号（中国工商银行旁） -营业时间：11:30-03:003. **炉鱼(拱墅万达广场店)** -类别：美食（烤鱼） -评分：4.7/5，人均85元 -地址：杭行路666号万达商业中心4幢2单元409室 -营业时间：00:00-24:00，全天营业其中炉鱼评分最高，蔡馬洪涛烤肉评分也不错；103茶餐厅则有代金券可用。"
QR010,pass-through,星聚会KTV地址是什么？,PASS_THROUGH,星聚会KTV,星聚会KTV,PASS_THROUGH,ANSWERED,6db55c1aac84983dc5e7678d228b84b7,d35bb3f4e933826cfa2685fc16a11bec,14,shopDetail,true,true,shopDetail,true,,true,357,39,1651,1805,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,星聚会KTV(拱墅区万达店)的地址是：杭行路666号万达广场C座1-2F。
QR013,context-reference,第一家现在有什么优惠？,REWRITE,103茶餐厅,103茶餐厅,REWRITE,ANSWERED,3c5e612cbcce377c6c6c9e95d100e658,48e663413c6c795d85ca49a2fcde44e1,1,shopDetail|voucherQuery,true,true,voucherQuery,true,,true,1757,74,7000,7653,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,"103茶餐厅目前有这些优惠：

1. **50元代金券**：47.5元抵50元，全场通用、无需预约、可无限叠加，仅限堂食。
2. **100元代金券**：80元抵100元，有效期至2026年10月26日，规则同上。

另外还有标注为“压测专用”的0.01元券，不是正常顾客优惠，建议忽略。"
QR014,context-reference,那家店几点关门？,REWRITE,炉鱼,炉鱼,CLARIFY,CLARIFIED,4e99e72698264d571d5cb87557805363,d5a95ded20aadfabe888187dee727452,,,false,true,,true,,false,3109,0,3109,3115,,Verify voucher/address/price/opening-hours facts against retrieved evidence and tool results,我还不能确定你指的是哪一家店，请告诉我具体店名，或说明是上一条回复中的第几家。
