id,split,scenario,history_json,current_question,expected_mode,expected_model_called,expected_shop_names,required_terms,notes,expected_shop_ids,actual_mode,rewritten_queries,model_called,valid_model_output,mode_match,model_call_match,constraint_preserved,clarification_correct,pass_through_no_regression,baseline_vector_top3,rewritten_vector_top3,baseline_hybrid_top3,rewritten_hybrid_top3,baseline_vector_hit_at_1,baseline_vector_hit_at_3,rewritten_vector_hit_at_1,rewritten_vector_hit_at_3,baseline_hybrid_hit_at_1,baseline_hybrid_hit_at_3,rewritten_hybrid_hit_at_1,rewritten_hybrid_hit_at_3,original_chars,rewritten_chars,rewrite_ms,fixture_error
QR001,DEV,pass-through,[],103茶餐厅有什么优惠券？,PASS_THROUGH,false,103茶餐厅,103茶餐厅,短而明确的问题不调用重写模型,1,PASS_THROUGH,103茶餐厅有什么优惠券？,false,true,true,true,true,true,true,1|106|107,1|106|107,1,1,true,true,true,true,true,true,true,true,13,13,0,
QR002,DEV,pass-through,[],新白鹿餐厅几点关门？,PASS_THROUGH,false,新白鹿餐厅,新白鹿餐厅,短而明确的问题不调用重写模型,3,PASS_THROUGH,新白鹿餐厅几点关门？,false,true,true,true,true,true,true,3|110|199,3|110|199,3,3,true,true,true,true,true,true,true,true,10,10,0,
QR003,TEST,pass-through,[],炉鱼人均多少钱？,PASS_THROUGH,false,炉鱼,炉鱼,短而明确的问题不调用重写模型,7,PASS_THROUGH,炉鱼人均多少钱？,false,true,true,true,true,true,true,7|4|102,7|4|102,7|4|102,7|4|102,true,true,true,true,true,true,true,true,8,8,0,
QR004,TEST,pass-through,[],开乐迪KTV在哪里？,PASS_THROUGH,false,开乐迪KTV,开乐迪KTV,短而明确的问题不调用重写模型,10,PASS_THROUGH,开乐迪KTV在哪里？,false,true,true,true,true,true,true,10|12|116,10|12|116,10,10,true,true,true,true,true,true,true,true,10,10,0,
QR005,TEST,pass-through,[],海底捞火锅营业到几点？,PASS_THROUGH,false,海底捞火锅,海底捞火锅,短而明确的问题不调用重写模型,5,PASS_THROUGH,海底捞火锅营业到几点？,false,true,true,true,true,true,true,5|177|104,5|177|104,5,5,true,true,true,true,true,true,true,true,11,11,0,
QR006,TEST,pass-through,[],运河上街附近有什么餐厅？,PASS_THROUGH,false,新白鹿餐厅,运河上街,短而明确的问题不调用重写模型,3,PASS_THROUGH,运河上街附近有什么餐厅？,false,true,true,true,true,true,true,103|3|9,103|3|9,3|8|9,3|8|9,false,true,false,true,true,true,true,true,12,12,0,
QR007,TEST,pass-through,[],浅草屋寿司有什么探店笔记？,PASS_THROUGH,false,浅草屋寿司,浅草屋寿司,短而明确的问题不调用重写模型,8,PASS_THROUGH,浅草屋寿司有什么探店笔记？,false,true,true,true,true,true,true,8|177|102,8|177|102,8,8,true,true,true,true,true,true,true,true,13,13,0,
QR008,TEST,pass-through,[],INLOVE KTV评分怎么样？,PASS_THROUGH,false,INLOVE KTV,INLOVE KTV,短而明确的问题不调用重写模型,11,PASS_THROUGH,INLOVE KTV评分怎么样？,false,true,true,true,true,true,true,11|13|12,11|13|12,11,11,true,true,true,true,true,true,true,true,16,16,0,
QR009,TEST,pass-through,[],推荐人均100元以内的美食店。,PASS_THROUGH,false,103茶餐厅|新白鹿餐厅|炉鱼,100元,短而明确的问题不调用重写模型,1|3|7,PASS_THROUGH,推荐人均100元以内的美食店。,false,true,true,true,true,true,true,1|101|110,1|101|110,1|2|7,1|2|7,true,true,true,true,true,true,true,true,15,15,0,
QR010,TEST,pass-through,[],星聚会KTV地址是什么？,PASS_THROUGH,false,星聚会KTV,星聚会KTV,短而明确的问题不调用重写模型,14,PASS_THROUGH,星聚会KTV地址是什么？,false,true,true,true,true,true,true,120|113|116,120|113|116,14,14,false,false,false,false,true,true,true,true,12,12,0,
QR011,DEV,context-reference,"[{""role"":""assistant"",""content"":""第一家是103茶餐厅，第二家是新白鹿餐厅，第三家是炉鱼。""}]",第二家几点关门？,REWRITE,true,新白鹿餐厅,新白鹿餐厅,序号引用需补全店铺实体,3,REWRITE,新白鹿餐厅几点关门,true,true,true,true,true,true,true,174|177|171,3|110|199,174|177|171,3,false,false,true,true,false,false,true,true,8,9,2254,
QR012,DEV,context-reference,"[{""role"":""assistant"",""content"":""我推荐开乐迪KTV，它位于运河上街。""}]",它的人均消费是多少？,REWRITE,true,开乐迪KTV,开乐迪KTV,代词引用需补全店铺实体,10,REWRITE,开乐迪KTV 运河上街 人均消费,true,true,true,true,true,true,true,174|12|1,10|113|111,174|12|1,10,false,false,true,true,false,false,true,true,10,16,2078,
QR013,TEST,context-reference,"[{""role"":""assistant"",""content"":""刚才提到的第一家是103茶餐厅，第二家是新白鹿餐厅。""}]",第一家现在有什么优惠？,REWRITE,true,103茶餐厅,103茶餐厅,序号引用需补全店铺实体,1,REWRITE,103茶餐厅现在的优惠,true,true,true,true,true,true,true,158|1|124,1|106|107,158|1|124,1,false,true,true,true,false,true,true,true,11,11,1987,
QR014,TEST,context-reference,"[{""role"":""assistant"",""content"":""炉鱼适合多人分享烤鱼，地址在拱墅万达广场。""}]",那家店几点关门？,REWRITE,true,炉鱼,炉鱼,代词引用需补全店铺实体,7,REWRITE,炉鱼拱墅万达广场几点关门,true,true,true,true,true,true,true,177|171|179,7|14|4,177|171|179,7|14|8,false,false,true,true,false,false,true,true,8,12,2153,
QR015,TEST,context-reference,"[{""role"":""assistant"",""content"":""开乐迪KTV评分3.7，INLOVE KTV评分4.8。""}]",后一家地址在哪里？,REWRITE,true,INLOVE KTV,INLOVE KTV,相对序号引用需补全店铺实体,11,CLARIFY,,true,false,false,true,false,true,true,188|183|162,,188|183|162,,false,false,false,false,false,false,false,false,9,0,2838,
